SampleID	Index	Remove.SH	Remove.SHMI	PLFA_ID	Cornell_ID	State	Site	Cluster	Trt	Field_ID	Collection_Date	Plant_Stage	Latitude	Longitude	Upper_depth	Lower_depth	Current_Land_Use	Cover_Type	Cover_Crop	Crop_Rotation	System_Years	Notes	Start_Date	Cover_0_Planting	Cover_0_Harvest	Crop_1_Planting	Crop_1_Harvest	Cover_1_Planting	Cover_1_Harvest	Crop_2_Planting	Crop_2_Harvest	Cover_2_Planting	Cover_2_Harvest	Crop_3_Planting	Crop_3_Harvest	Cover_3_Planting	Cover_3_Harvest	Stop_Date	Cover_Roots	Crop_Roots	All_Roots	Current_Crop	Previous_Crop	Tillage_Type	Depth	Tillage_Start	Planter Type	Planter_Start	Removal_Type	Residue_Retained	Fertilizer_Type	N_Annual_Rate	P_Annual_Rate	K_Annual_Rate	Fertilizer_Applications_per_Year	Irrigation_Type	Annual_Rate	Irrigation_Applications_per_Year	Grazing_Type	Stocking_Rate	Animal_Type	Rest_Period	Yield_Type	Yield	Units	C Saturation Deficit	texture_class	sand	silt	clay	water_cap	water_capacity_rating	agg_stab	aggregate_stability_rating	SOM	organic_matter_rating	ace	ace_soil_protein_index_rating	resp	respiration_rating	activeC	active_carbon_rating	ph	ph_rating	p	p_rating	k	k_rating	mg	fe	mn	zn	minor_elements_rating	Overall	beta_glucosidase	PLFA	DNA	qPCR	root	rich	dist	ClimateZ
NRCS105	105	No	No	SHI-0105	PP75	IN	IN7	IN7_KS	KS	KS2	6/6/2016		38.021	-87.454	0	15	cropland.annual	cover crop	"Rye + Clover, Crimson"	Corn | Soybean | Corn	3		6/7/2013			5/15/2014	10/15/2014	11/1/2014	5/1/2015	6/1/2015	10/15/2015	11/1/2015	5/1/2016	5/15/2016	6/6/2016			6/6/2016	33	28	61.55	Corn	Soybean	No Till/ Direct Seed		2014													None							33.68	silt loam	4.32	82.16	13.52	0.24	88.57	15.53	19.51	2.02	13.75	3.95	22	0.35	19.81	445.15	38.34	5.53	14.15	5.47	100	76.89	100	115.42	11.16	27.15	0.61	100	51.61	62	63310.99	6419.5	1.37E+09	62	1.67	3	Cfa
NRCS106	106	No	No	SHI-0106	PP76	IN	IN7	IN7_KS	KS	KS3	6/6/2016		38.021	-87.454	0	15	cropland.annual	None	None | None | None	Corn | Soybean | Corn	3		6/7/2013			5/15/2014	10/15/2014			6/1/2015	10/15/2015			5/15/2016	6/6/2016			6/6/2016	0	28	28.4	Corn	Soybean	No Till/ Direct Seed		2014													None							33.62	silt	5.09	83.48	11.43	0.24	90.2	17.84	23.24	1.84	9.85	4.22	24.48	0.38	23.62	293.86	13.26	5.21	0	6.22	100	78.53	100	77.78	13.94	33.88	0.67	100	48.47	46	59686.91	3023.9	5.91E+08	28	1	3	Cfa
NRCS107	107	No	No	SHI-0107	PP77	IN	IN7	IN7_KS	KS	KS4	6/6/2016		38.021	-87.454	0	15	cropland.annual	cover crop	"Rye + Clover, Crimson"	Corn | Soybean | Corn	3		6/7/2013			5/15/2014	10/15/2014	11/1/2014	5/1/2015	6/1/2015	10/15/2015	11/1/2015	5/1/2016	5/15/2016	6/6/2016			6/6/2016	33	28	61.55	Corn	Soybean	No Till/ Direct Seed		2014													None							33.65	silt loam	4.33	83.03	12.64	0.22	82.63	18.23	23.9	2.07	15.18	4.94	31.81	0.35	20.14	360.61	22.56	5.43	3.08	6.39	100	79.6	100	103.4	14.44	34.23	0.84	100	49.93	55	63616.65	8455.7	1.72E+09	62	1.67	3	Cfa
NRCS108	108	No	No	SHI-0108	PP78	IN	IN7	IN7_KS	KS	KS5	6/6/2016		38.021	-87.454	0	15	cropland.annual	None	None | None | None	Corn | Soybean | Corn	3		6/7/2013			5/15/2014	10/15/2014			6/1/2015	10/15/2015			5/15/2016	6/6/2016			6/6/2016	0	28	28.4	Corn	Soybean	No Till/ Direct Seed		2014													None							33.94	silt loam	3.17	82.91	13.92	0.21	79.39	24.15	35.18	1.99	13.15	4.33	25.58	0.38	23.26	329.09	17.78	5.6	21.61	8.29	100	100.01	100	106.67	11.56	29.65	0.56	100	51.6	55	66550.71	5185.9	9.78E+08	28	1	3	Cfa
NRCS109	109	No	No	SHI-0109	PP79	IN	IN7	IN7_KS	KS	KS6	6/6/2016		38.021	-87.454	0	15	cropland.annual	cover crop	"Rye + Clover, Crimson"	Corn | Soybean | Corn	3		6/7/2013			5/15/2014	10/15/2014	11/1/2014	5/1/2015	6/1/2015	10/15/2015	11/1/2015	5/1/2016	5/15/2016	6/6/2016			6/6/2016	33	28	61.55	Corn	Soybean	No Till/ Direct Seed		2014													None							33.85	silt loam	3.68	82.88	13.44	0.29	97.73	20.12	27.28	1.97	12.58	4.36	25.84	0.36	21.49	293.86	13.26	4.72	0	8.71	100	95.24	100	93.05	19.9	43.25	0.95	100	49.82	58	66698.07	6787.7	1.31E+09	62	1.67	3	Cfa
NRCS110	110	No	No	SHI-0110	PP152	IN	IN8	IN8_VF	VF	VF1	6/14/2016	post-harvest	38.77	-87.191	0	15	cropland.annual	cover crop	"Clover, Crimson + Radish | Oats + Clover, Crimson + Radish + Rapeseed | Oats + Clover, Crimson + Radish + Rapeseed"	Corn | Corn | Soybean | Corn	3		6/15/2013			5/15/2014	10/15/2014	11/1/2014	5/1/2015	5/15/2015	10/15/2015	11/1/2015	5/1/2016	6/1/2016	6/14/2016			6/14/2016	33	29	62.28	Corn	Soybean	No Till/ Direct Seed		2014													None							21.12	sandy loam	64.61	20.84	14.54	0.13	52.66	35.02	41.43	1.85	42.52	3.61	13.92	0.4	25.48	304.32	23.32	6.21	88.57	2.8	80.28	108.52	100	246.48	2.82	4.89	1.36	100	56.82	102	63472.21	6780.6	1.40E+09	62	4.67	3	Cfa
NRCS111	111	No	No	SHI-0111	PP153	IN	IN8	IN8_VF	VF	VF2	6/14/2016		38.77	-87.191	0	15	cropland.annual	None	None | None | None | None	Corn | Corn | Soybean | Corn	3		6/15/2013			5/15/2014	10/15/2014			5/15/2015	10/15/2015			6/1/2016	6/14/2016			6/14/2016	0	29	29.13	Corn	Soybean	No Till/ Direct Seed		2014													None							20.75	sandy loam	67.08	19.64	13.28	0.13	49.42	25.49	26.41	1.59	30.2	3.37	12.46	0.33	18.52	265.84	17.86	5.98	64.13	2.85	81.93	96.11	100	220.93	3.44	6.06	1.31	100	50.09	71	59057.55	8059.1	1.61E+09	29	1.33	3	Cfa
NRCS112	112	No	No	SHI-0112	PP154	IN	IN8	IN8_VF	VF	VF3	6/14/2016		38.77	-87.191	0	15	cropland.annual	cover crop	"Clover, Crimson + Radish | Clover, Crimson + Radish | Oats + Clover, Crimson + Radish + Rapeseed | Oats + Clover, Crimson + Radish + Rapeseed"	Corn | Corn | Soybean | Corn	3		6/15/2013			5/15/2014	10/15/2014	11/1/2014	5/1/2015	5/15/2015	10/15/2015	11/1/2015	5/1/2016	6/1/2016	6/14/2016			6/14/2016	33	29	62.28	Corn	Soybean	No Till/ Direct Seed		2014													None							19.75	sandy loam	70.98	19.35	9.67	0.12	43.63	35.81	42.78	1.89	44.75	5.04	25.01	0.53	41.22	419.78	44	6.17	83.96	8.55	100	103.26	100	199.8	2.38	6.39	2.35	100	62.54	118	72085.68	5193.4	1.34E+09	62	5.33	3	Cfa
NRCS113	113	No	No	SHI-0113	PP155	IN	IN8	IN8_VF	VF	VF4	6/14/2016		38.77	-87.191	0	15	cropland.annual	None	None | None | None | None	Corn | Corn | Soybean | Corn	3		6/15/2013			5/15/2014	10/15/2014			5/15/2015	10/15/2015			6/1/2016	6/14/2016			6/14/2016	0	29	29.13	Corn	Soybean	No Till/ Direct Seed		2014													None							19.67	sandy loam	71.8	20.43	7.76	0.11	38.27	39.35	48.87	1.75	37.56	4.61	21.29	0.46	31.49	463.77	52.74	6.2	87.69	8.86	100	113.55	100	164.47	2.36	5.19	2.19	100	61.79	108	69106.25	8439.4	1.66E+09	29	1.33	3	Cfa
NRCS114	114	No	No	SHI-0114	PP156	IN	IN8	IN8_VF	VF	VF5	6/14/2016		38.77	-87.191	0	15	cropland.annual	cover crop	"Clover, Crimson + Radish | Clover, Crimson + Radish | Oats + Clover, Crimson + Radish + Rapeseed | Oats + Clover, Crimson + Radish + Rapeseed"	Corn | Corn | Soybean | Corn	3		6/15/2013			5/15/2014	10/15/2014	11/1/2014	5/1/2015	5/15/2015	10/15/2015	11/1/2015	5/1/2016	6/1/2016	6/14/2016			6/14/2016	33	29	62.28	Corn	Soybean	No Till/ Direct Seed		2014													None							19.6	sandy loam	72.1	20.93	6.97	0.12	46.47	38.78	47.89	1.76	38.02	4.85	23.29	0.48	34.48	555.4	70.09	6.37	100	9.59	100	96.04	100	150.09	2.49	5.05	2.39	100	66.03	120	68994.84	8963.6	1.90E+09	62	5.33	3	Cfa
NRCS115	115	No	No	SHI-0115	PP157	IN	IN8	IN8_VF	VF	VF6	6/14/2016		38.77	-87.191	0	15	cropland.annual	None	None | None | None | None	Corn | Corn | Soybean | Corn	3		6/15/2013			5/15/2014	10/15/2014			5/15/2015	10/15/2015			6/1/2016	6/14/2016			6/14/2016	0	29	29.13	Corn	Soybean	No Till/ Direct Seed		2014													None							18.92	loamy sand	76.4	18.6	5	0.11	41.04	49.96	66.75	1.38	21.9	4.06	16.99	0.4	24.73	430.78	46.17	6.28	96.67	9.78	100	88.25	100	116.05	1.84	5.48	1.48	100	61.43	121	46883.19	6010.1	1.35E+09	29	1.33	3	Cfa
NRCS116	116	No	No	SHI-0116	PP798	NY	NY1	NY1_1	1	Betts Vineyard Non-Cover Cropped (Control)	11/2/2016	post-harvest	42.325	-79.539	0	15	cropland.perennial	None	None | None	Grapes | Grapes	2		11/3/2014							11/3/2014	11/2/2016							11/2/2016	0	100	100	Grapes	Grapes	Zone till								25	0	50		None			None				above ground	6	tons/ac	30.4	silt loam	14.93	58.71	26.35	0.39	99.98	14.15	17.45	3.83	82.11	6.5	50.01	0.61	50.67	483.88	46.53	5.92	57.11	3.3	94.52	87.73	100	189.66	15.54	7.49	0.55	100	69.84	63	97710.19	8185	1.31E+09	100	1	2	Dfb
NRCS117	117	No	No	SHI-0117	PP797	NY	NY1	NY1_2	2	Betts  Cover Cropped Vineyard	11/2/2016	post-harvest	42.325	-79.539	0	15	cropland.perennial	cover crop	"Rye, Cereal + Pea, Austrian Winter + Radish + Buckwheat"	Grapes | Grapes	2		11/3/2014							11/3/2014	11/2/2016							11/2/2016	0	100	100	Grapes	Grapes	Zone till								25	0	50		None			None				above ground	6	tons/ac	30.35	silt loam	14.83	59.67	25.5	0.31	98.79	22.71	32.25	3.96	85.74	7.71	64.34	0.61	51.62	406.07	30.58	5.89	53.72	3.88	100	78.95	100	173.81	27.14	6.98	0.54	56	67.3	87	112931.98	13735.9	2.11E+09	100	3	2	Dfb
NRCS118	118	No	No	SHI-0118	PP856	KS	KS1	KS1_1	1	Nick Vos CrnClvrIrrg	11/16/2016	post-harvest	37.147	-101.221	0	15	cropland.annual	cover crop	Clover | Clover | Clover	Corn | Soybean | Corn	3		11/17/2013			5/1/2014	10/1/2014	10/15/2014	5/1/2015	5/1/2015	10/15/2015	11/1/2015	5/1/2016	5/15/2016	10/1/2016	10/15/2016	11/16/2016	11/16/2016	38	42	79.54	Corn	Soybean	Strip Till																						25.51	loam	43.41	36.14	20.46	0.23	87.45	6.45	8.63	1.96	12.49	2.62	11.99	0.54	42.23	381.53	26.1	7.78	0	16.99	100	395.96	100	468.92	0.28	4.46	0.19	56	44.49	83	52815.23	6370.5	1.31E+09	80	2	2	BSk
NRCS119	119	No	No	SHI-0119	PP855	KS	KS2	KS2_1	1	Griffeth SB/Wheat	10/21/2016	post-harvest	39.617	-98.137	0	15	cropland.annual	None	None | None | None	Wheat | Soybean | Soybean	3		10/22/2013			10/1/2014	6/1/2015			5/1/2015	10/15/2015			5/1/2016	10/15/2016			10/21/2016	0	53	52.69	Soybean	Soybean	No Till																						33.4	silt loam	3.83	70.26	25.91	0.28	96.41	38.26	65.66	2.68	35.97	4.56	27.79	0.24	11.82	363.74	23.07	5.55	17	2.81	80.69	350.93	100	318.73	4.57	13.09	0.24	56	51.44	87	67689.96	8160.4	1.49E+09	53	1	3	Cfa
NRCS120	120	No	No	SHI-0120	PP854	NE	NE1	NE1_1	1	SB/Cover	11/1/2016	post-harvest	40.583	-96.397	0	15	cropland.annual	cover crop	None | Wheat | None	Soybean | Corn | Soybean	3		11/2/2013			5/1/2014	10/15/2014			5/1/2015	10/15/2015	10/15/2015	4/10/2016	5/1/2016	10/15/2016			11/1/2016	16	46	62.01	Soybean	Soybean	No Till																						31.25	silty clay loam	11.21	52.09	36.7	0.26	93.71	39.09	58.53	3.72	37.81	4.58	32.96	0.37	22.05	402.88	19.47	6.01	66.98	3.59	100	290.78	100	668.72	4.55	8.06	1.6	100	63.15	116	84060.05	8446	1.45E+09	62	1.33	3	Dfa
NRCS121	121	No	No	SHI-0121	PP420	ND	ND1	ND1_Control	Control	NDPMC-CASH-Control-1	8/23/2016	in-season	46.777	-100.767	0	15	cropland.annual	None	None | None | None | None	Barley | Barley | Barley | Barley	4		8/24/2012			5/8/2013	8/6/2013			5/8/2014	8/6/2014			5/8/2015	8/6/2015			8/23/2016	0	18	18.49	Barley	Barley	Conventional Till																						27.36	silt loam	26.87	58.43	14.69	0.24	87.99	19.13	25.48	4.75	97.42	12.83	97.24	0.42	27.57	1032.43	99.8	7.36	85.96	202.72	0	581.24	100	502.6	1.15	11.81	0.68	100	72.15	278	102036.42	11913.1	3.61E+09	18	1	1	Dfb
NRCS122	122	No	No	SHI-0122	PP421	ND	ND1	ND1_Control	Control	NDPMC-CASH-Control-2	8/23/2016	in-season	46.777	-100.767	0	15	cropland.annual	None	None | None | None | None	Barley | Barley | Barley | Barley	4		8/24/2012			5/8/2013	8/6/2013			5/8/2014	8/6/2014			5/8/2015	8/6/2015			8/23/2016	0	18	18.49	Barley	Barley	Conventional Till																						28.19	silt loam	25.02	60.33	14.64	0.23	86.34	17.02	21.87	3.99	86.45	10.06	85.96	0.39	24.51	911.25	98.69	7.46	68.99	150.91	0	489.23	100	498.14	0.9	10.44	0.54	100	67.28	254	89351.89	12567	3.83E+09	18	1	1	Dfb
NRCS123	123	No	No	SHI-0123	PP422	ND	ND1	ND1_Control	Control	NDPMC-CASH-Control-3	8/23/2016	in-season	46.777	-100.767	0	15	cropland.annual	None	None | None | None | None	Barley | Barley | Barley | Barley	4		8/24/2012			5/8/2013	8/6/2013			5/8/2014	8/6/2014			5/8/2015	8/6/2015			8/23/2016	0	18	18.49	Barley	Barley	Conventional Till																						27.87	silt loam	23.91	62.16	13.93	0.26	94.68	24.53	35.97	4.94	98.44	15.11	99.55	0.45	30.41	1035.94	99.81	7.26	95	189.96	0	545.12	100	531.62	1.2	11.8	0.7	100	75.39	253	146260.76	16240.7	5.24E+09	18	1	1	Dfb
NRCS124	124	No	No	SHI-0124	PP423	ND	ND1	ND1_Control	Control	NDPMC-CASH-Control-4	8/23/2016	in-season	46.777	-100.767	0	15	cropland.annual	None	None | None | None | None	Barley | Barley | Barley | Barley	4		8/24/2012			5/8/2013	8/6/2013			5/8/2014	8/6/2014			5/8/2015	8/6/2015			8/23/2016	0	18	18.49	Barley	Barley	Conventional Till																						28.86	silt loam	21.73	63.44	14.84	0.27	94.88	13.6	16.68	4.03	87.36	11.19	92.25	0.42	27.57	891.93	98.29	7.27	94.13	150.72	0	493.61	100	475.19	1.04	9.82	0.51	100	71.12	197	99338.14	15273.5	4.07E+09	18	1	1	Dfb
NRCS125	125	No	No	SHI-0125	PP416	ND	ND1	ND1_Species_2	Species_2	NDPMC-CASH-2species-1	8/23/2016	in-season	46.778	-100.767	0	15	cropland.annual	cover crop	"Triticale + Clover, Red | Triticale + Clover, Red | Triticale + Clover, Red | Triticale + Clover, Red"	Barley | Barley | Barley | Barley	4		8/24/2012	10/27/2012	5/1/2013	5/8/2013	8/6/2013	8/15/2013	5/1/2014	5/8/2014	8/6/2014	8/15/2014	5/1/2015	5/8/2015	8/6/2015			8/23/2016	48	18	66.71	Barley	Barley	Conventional Till																						27.99	silt loam	25.62	63.04	11.34	0.23	84.34	15.64	19.67	4.12	89.36	11.52	93.6	0.51	38.21	990.28	99.6	7.29	93.2	137.8	0	490.24	100	483.05	0.71	9.33	0.5	100	71.8	277	103795.65	15763.8	4.10E+09	67	3	1	Dfb
NRCS126	126	No	No	SHI-0126	PP417	ND	ND1	ND1_Species_2	Species_2	NDPMC-CASH-2species-2	8/23/2016	in-season	46.777	-100.767	0	15	cropland.annual	cover crop	"Triticale + Clover, Red | Triticale + Clover, Red | Triticale + Clover, Red | Triticale + Clover, Red"	Barley | Barley | Barley | Barley	4		8/24/2012	10/27/2012	5/1/2013	5/8/2013	8/6/2013	8/15/2013	5/1/2014	5/8/2014	8/6/2014	8/15/2014	5/1/2015	5/8/2015	8/6/2015			8/23/2016	48	18	66.71	Barley	Barley	Conventional Till																						28.32	silt loam	22.87	65.84	11.29	0.26	93.48	29.88	47.51	4.55	95.71	12.6	96.76	0.37	22.33	1021.89	99.76	7.36	85.83	152.97	0	501.32	100	531.16	1.13	10.6	0.62	100	74.14	282	84504.5	11539	3.05E+09	67	3	1	Dfb
NRCS127	127	No	No	SHI-0127	PP418	ND	ND1	ND1_Species_2	Species_2	NDPMC-CASH-2species-3	8/23/2016	in-season	46.777	-100.767	0	15	cropland.annual	cover crop	"Triticale + Clover, Red | Triticale + Clover, Red | Triticale + Clover, Red | Triticale + Clover, Red"	Barley | Barley | Barley | Barley	4		8/24/2012	10/27/2012	5/1/2013	5/8/2013	8/6/2013	8/15/2013	5/1/2014	5/8/2014	8/6/2014	8/15/2014	5/1/2015	5/8/2015	8/6/2015			8/23/2016	48	18	66.71	Barley	Barley	Conventional Till																						27.18	silt loam	26.4	63.69	9.91	0.26	92.89	32.54	53.42	5.24	99.36	14.88	99.44	0.49	35.1	1039.46	99.82	6.87	100	189.08	0	575.48	100	542.23	1.41	13.04	0.79	100	78	315	116985.96	11206.7	3.28E+09	67	3	1	Dfb
NRCS128	128	No	No	SHI-0128	PP419	ND	ND1	ND1_Species_2	Species_2	NDPMC-CASH-2species-4	8/23/2016	in-season	46.777	-100.767	0	15	cropland.annual	cover crop	"Triticale + Clover, Red | Triticale + Clover, Red | Triticale + Clover, Red | Triticale + Clover, Red"	Barley | Barley | Barley | Barley	4		8/24/2012	10/27/2012	5/1/2013	5/8/2013	8/6/2013	8/15/2013	5/1/2014	5/8/2014	8/6/2014	8/15/2014	5/1/2015	5/8/2015	8/6/2015			8/23/2016	48	18	66.71	Barley	Barley	Conventional Till																						28.37	silt loam	22.46	66.65	10.89	0.26	93.82	28.08	43.56	4.61	96.28	10.98	91.28	0.46	32.08	932.32	99.03	7.08	100	150.59	0	501.13	100	519.63	1.11	10.35	0.61	100	75.6	238	126101.1	17953.1	4.77E+09	67	3	1	Dfb
NRCS129	129	No	No	SHI-0129	PP412	ND	ND1	ND1_Species_6	Species_6	NDPMC-CASH-6species-1	8/23/2016	in-season	46.777	-100.767	0	15	cropland.annual	cover crop	"Triticale + Clover, Red + Vetch, Hairy + Radish + Oats + Rapeseed | Triticale + Clover, Red + Vetch, Hairy + Radish + Oats + Rapeseed | Triticale + Clover, Red + Vetch, Hairy + Radish + Oats + Rapeseed | Triticale + Clover, Red + Vetch, Hairy + Radish + Oats + Rapeseed"	Barley | Barley | Barley | Barley	4		8/24/2012	10/27/2012	5/1/2013	5/8/2013	8/6/2013	8/15/2013	5/1/2014	5/8/2014	8/6/2014	8/15/2014	5/1/2015	5/8/2015	8/6/2015			8/23/2016	48	18	66.71	Barley	Barley	Conventional Till																						27.34	silt loam	26.97	62.45	10.58	0.28	96.9	28.89	45.33	4.75	97.39	12.56	96.68	0.45	30.41	1090.38	99.93	7.21	96.98	176.15	0	573.82	100	527.97	1.2	12.94	0.63	100	76.36	258	103296.69		9.60E+08	67	5	1	Dfb
NRCS130	130	No	No	SHI-0130	PP413	ND	ND1	ND1_Species_6	Species_6	NDPMC-CASH-6species-2	8/23/2016	in-season	46.777	-100.767	0	15	cropland.annual	cover crop	"Triticale + Clover, Red + Vetch, Hairy + Radish + Oats + Rapeseed | Triticale + Clover, Red + Vetch, Hairy + Radish + Oats + Rapeseed | Triticale + Clover, Red + Vetch, Hairy + Radish + Oats + Rapeseed | Triticale + Clover, Red + Vetch, Hairy + Radish + Oats + Rapeseed"	Barley | Barley | Barley | Barley	4		8/24/2012	10/27/2012	5/1/2013	5/8/2013	8/6/2013	8/15/2013	5/1/2014	5/8/2014	8/6/2014	8/15/2014	5/1/2015	5/8/2015	8/6/2015			8/23/2016	48	18	66.71	Barley	Barley	Conventional Till																						27.35	silt loam	28.1	61.18	10.72	0.24	88.68	31.52	51.16	4.33	92.96	12.29	96.03	0.43	28.77	1054.86	99.86	7.18	100	159.4	0	531.11	100	518.16	1.08	11.72	0.58	100	75.75	307	97030.57		1.17E+09	67	5	1	Dfb
NRCS131	131	No	No	SHI-0131	PP414	ND	ND1	ND1_Species_6	Species_6	NDPMC-CASH-6species-3	8/23/2016	in-season	46.776	-100.767	0	15	cropland.annual	cover crop	"Triticale + Clover, Red + Vetch, Hairy + Radish + Oats + Rapeseed | Triticale + Clover, Red + Vetch, Hairy + Radish + Oats + Rapeseed | Triticale + Clover, Red + Vetch, Hairy + Radish + Oats + Rapeseed | Triticale + Clover, Red + Vetch, Hairy + Radish + Oats + Rapeseed"	Barley | Barley | Barley | Barley	4		8/24/2012	10/27/2012	5/1/2013	5/8/2013	8/6/2013	8/15/2013	5/1/2014	5/8/2014	8/6/2014	8/15/2014	5/1/2015	5/8/2015	8/6/2015			8/23/2016	48	18	66.71	Barley	Barley	Conventional Till																						27.92	silt loam	23.55	65.53	10.92	0.29	97.58	26.59	40.33	4.99	98.65	15.75	99.75	0.47	32.93	1093.9	99.93	7.12	100	183.25	0	546.27	100	525.07	1.11	11.77	0.63	100	76.92	263	137083.16		1.07E+09	67	5	1	Dfb
NRCS132	132	No	No	SHI-0132	PP415	ND	ND1	ND1_Species_6	Species_6	NDPMC-CASH-6species-4	8/23/2016	in-season	46.777	-100.767	0	15	cropland.annual	cover crop	"Triticale + Clover, Red + Vetch, Hairy + Radish + Oats + Rapeseed | Triticale + Clover, Red + Vetch, Hairy + Radish + Oats + Rapeseed | Triticale + Clover, Red + Vetch, Hairy + Radish + Oats + Rapeseed | Triticale + Clover, Red + Vetch, Hairy + Radish + Oats + Rapeseed"	Barley | Barley | Barley | Barley	4		8/24/2012	10/27/2012	5/1/2013	5/8/2013	8/6/2013	8/15/2013	5/1/2014	5/8/2014	8/6/2014	8/15/2014	5/1/2015	5/8/2015	8/6/2015			8/23/2016	48	18	66.71	Barley	Barley	Conventional Till																						28.4	silt loam	23.29	64.84	11.88	0.25	92.74	27.56	42.42	4.26	91.9	13.29	98.02	0.44	29.18	914.76	98.75	7.19	100	165.1	0	536.53	100	512.61	1.1	10.76	0.66	100	75.3	289	95524.55		2.78E+09	67	5	1	Dfb
NRCS133	133	No	No	SHI-0133	QPP102	FL	FL1	FL1_Control	Control	FLPMC-CASH-CONTROL-1	8/29/2016	in-season	28.62	-82.345	0	15	cropland.annual	None	None | None | None | None	Corn | Corn | Corn | Corn	4		8/30/2012			4/25/2013	9/1/2013			4/25/2014	9/1/2014			4/25/2015	9/1/2015			8/29/2016	0	27	26.51	Corn	Corn	Conventional Till																						15.81	sand	92.59	6.02	1.39	0.09	30.84	36.36	43.71	0.87	7.82	3.07	10.83	0.15	6.88	252.65	16.19	6.86	100	12.15	100	33.05	45.97	59	1.5	0.93	0.78	100	46.22	26	36517.18	2090.9	4.68E+08	27	1	1	Cfa
NRCS134	134	No	No	SHI-0134	QPP105	FL	FL1	FL1_Control	Control	FLPMC-CASH-CONTROL-2	8/29/2016	in-season	28.62	-82.345	0	15	cropland.annual	None	None | None | None | None	Corn | Corn | Corn | Corn	4		8/30/2012			4/25/2013	9/1/2013			4/25/2014	9/1/2014			4/25/2015	9/1/2015			8/29/2016	0	27	26.51	Corn	Corn	Conventional Till																						15.91	sand	92.87	5.35	1.77	0.04	8.77	10.08	9.66	0.6	3.96	2.88	9.83	0.19	8.59	240.36	14.73	6.69	100	7.77	100	13.98	13.78	43.67	1.05	1.22	1.47	100	36.93	22	30498.61	6969.3	4.70E+08	27	1	1	Cfa
NRCS135	135	No	No	SHI-0135	QPP108	FL	FL1	FL1_Control	Control	FLPMC-CASH-CONTROL-3	8/29/2016	in-season	28.62	-82.345	0	15	cropland.annual	None	None | None | None | None	Corn | Corn | Corn | Corn	4		8/30/2012			4/25/2013	9/1/2013			4/25/2014	9/1/2014			4/25/2015	9/1/2015			8/29/2016	0	27	26.51	Corn	Corn	Conventional Till																						16.11	sand	89.6	7.34	3.06	0.05	13.7	32.57	37.33	1.43	23.92	4.29	18.68	0.21	9.76	278.99	19.63	6.24	92.29	9.41	100	47.83	72.85	89.62	5.69	2.38	1.51	100	48.82	31	57852.8	10277.3	1.14E+09	27	1	1	Cfa
NRCS136	136	No	No	SHI-0136	QPP111	FL	FL1	FL1_Control	Control	FLPMC-CASH-CONTROL-4	8/29/2016	in-season	28.62	-82.345	0	15	cropland.annual	None	None | None | None | None	Corn | Corn | Corn | Corn	4		8/30/2012			4/25/2013	9/1/2013			4/25/2014	9/1/2014			4/25/2015	9/1/2015			8/29/2016	0	27	26.51	Corn	Corn	Conventional Till																						15.58	sand	92.67	6.37	0.96	0.04	9.77	20.56	19.9	1.24	17.18	4.54	20.68	0.26	12.68	410.71	42.21	7.07	100	10.65	100	11.97	11.8	69.98	1.18	1.34	1.69	100	43.42	35	58350.1	4254.6	9.49E+08	27	1	1	Cfa
NRCS137	137	No	No	SHI-0137	QPP103	FL	FL1	FL1_Species_2	Species_2	FLPMC-CASH-2-species-1	8/29/2016	in-season	28.62	-82.345	0	15	cropland.annual	cover crop	"Rye + Clover, Crimson | Rye + Clover, Crimson | Rye + Clover, Crimson | Rye + Clover, Crimson"	Corn | Corn | Corn | Corn	4		8/30/2012	11/27/2012	4/4/2013	4/25/2013	9/1/2013	11/27/2013	4/4/2014	4/25/2014	9/1/2014	11/15/2014	4/4/2015	4/25/2015	9/1/2015			8/29/2016	27	27	53.63	Corn	Corn	Conventional Till																						15.82	sand	92.8	5	2.2	0.07	19.32	13.83	12.76	0.78	6.43	2.66	8.78	0.11	5.07	198.21	10.4	6.73	100	7.45	100	15.9	15.67	48.3	0.95	0.45	7.71	100	37.84	11	25385.7	1372.6	3.59E+08	54	3	1	Cfa
NRCS138	138	No	No	SHI-0138	QPP106	FL	FL1	FL1_Species_2	Species_2	FLPMC-CASH-2-species-2	8/29/2016	in-season	28.62	-82.345	0	15	cropland.annual	cover crop	"Rye + Clover, Crimson | Rye + Clover, Crimson | Rye + Clover, Crimson | Rye + Clover, Crimson"	Corn | Corn | Corn | Corn	4		8/30/2012	11/27/2012	4/4/2013	4/25/2013	9/1/2013	11/27/2013	4/4/2014	4/25/2014	9/1/2014	11/15/2014	4/4/2015	4/25/2015	9/1/2015			8/29/2016	27	27	53.63	Corn	Corn	Conventional Till																						15.81	sand	93.69	5.29	1.02	0.03	8.52	10.05	9.65	0.47	2.78	1.97	6.04	0.14	6.13	215.77	12.08	6.92	100	4.28	100	5.53	5.45	29.05	1.2	1.21	0.57	56	30.66	17	26496.52	1681.1	4.14E+08	54	3	1	Cfa
